epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
164,13736.3,0.68775,0.4553,0.85878,0.95111,0.97406,0.98121,0.79658,0.72245,0.43462,0.86189,0.00114914,0.00114914,0.00114914
165,13822.7,0.66977,0.46953,0.88509,0.95158,0.97328,0.97962,0.79319,0.71527,0.43718,0.85445,0.00114853,0.00114853,0.00114853
166,13907.9,0.70558,0.46604,0.87197,0.96989,0.95681,0.98116,0.78516,0.73209,0.46282,0.85992,0.00114791,0.00114791,0.00114791
167,13992.9,0.68334,0.47947,0.87619,0.93944,0.96226,0.9765,0.79863,0.71833,0.46281,0.85817,0.00114729,0.00114729,0.00114729
168,14079,0.69245,0.47765,0.87364,0.90325,0.96934,0.97748,0.78846,0.72265,0.46895,0.85682,0.00114667,0.00114667,0.00114667
169,14164.5,0.69421,0.4694,0.86542,0.94757,0.96226,0.98363,0.79238,0.71799,0.42324,0.8565,0.00114605,0.00114605,0.00114605
170,14250.1,0.67034,0.47857,0.87006,0.96923,0.95991,0.98413,0.80392,0.70374,0.42349,0.85041,0.00114543,0.00114543,0.00114543
171,14335.6,0.70646,0.47713,0.86516,0.90895,0.98495,0.98297,0.78666,0.73345,0.44993,0.85709,0.00114481,0.00114481,0.00114481
172,14421.3,0.71875,0.47517,0.88164,0.96006,0.93793,0.97731,0.79454,0.72684,0.44291,0.859,0.00114419,0.00114419,0.00114419
173,14506.4,0.69355,0.47798,0.87457,0.96936,0.94811,0.9789,0.78562,0.75261,0.428,0.86537,0.00114357,0.00114357,0.00114357
174,14591,0.7015,0.47922,0.87571,0.9604,0.96335,0.98618,0.79551,0.72213,0.4321,0.85777,0.00114296,0.00114296,0.00114296
175,14675.5,0.70506,0.48378,0.88333,0.96595,0.95833,0.98591,0.80011,0.70519,0.41073,0.85217,0.00114234,0.00114234,0.00114234
176,14760.2,0.68684,0.46782,0.87463,0.97124,0.97642,0.98848,0.80286,0.70865,0.3988,0.85503,0.00114172,0.00114172,0.00114172
